iter	Passed	Remaining
602	12588	8287
603	12608	8266
604	12630	8246
605	12651	8225
606	12673	8205
607	12693	8183
608	12713	8162
609	12734	8141
610	12755	8120
611	12775	8099
612	12795	8078
613	12816	8057
614	12838	8037
615	12858	8015
616	12878	7994
617	12899	7973
618	12920	7952
619	12942	7932
620	12963	7911
621	12983	7890
622	13003	7869
623	13025	7848
624	13045	7827
625	13066	7806
626	13086	7785
627	13106	7763
628	13126	7742
629	13147	7721
630	13167	7700
631	13188	7679
632	13209	7658
633	13230	7637
634	13251	7616
635	13272	7596
636	13293	7575
637	13314	7554
638	13335	7533
639	13356	7513
640	13377	7492
641	13399	7472
642	13420	7451
643	13441	7430
644	13462	7409
645	13484	7389
646	13505	7368
647	13526	7347
648	13547	7326
649	13568	7306
650	13589	7285
651	13610	7264
652	13631	7243
653	13651	7222
654	13673	7202
655	13693	7180
656	13715	7160
657	13735	7139
658	13757	7118
659	13779	7098
660	13800	7077
661	13820	7056
662	13841	7035
663	13862	7014
664	13883	6993
665	13903	6972
666	13925	6952
667	13945	6931
668	13966	6910
669	13987	6889
670	14009	6868
671	14029	6847
672	14052	6827
673	14073	6807
674	14093	6785
675	14114	6764
676	14134	6743
677	14155	6722
678	14176	6701
679	14197	6681
680	14219	6660
681	14240	6640
682	14261	6619
683	14283	6598
684	14304	6577
685	14327	6557
686	14347	6536
687	14368	6515
688	14388	6494
689	14409	6474
690	14431	6453
691	14452	6432
692	14474	6412
693	14495	6391
694	14515	6370
695	14537	6349
696	14559	6329
697	14580	6308
698	14601	6287
699	14622	6266
700	14642	6245
701	14663	6224
702	14684	6203
703	14704	6182
704	14725	6161
705	14747	6141
706	14768	6120
707	14789	6099
708	14810	6078
709	14831	6058
710	14852	6037
711	14873	6016
712	14894	5995
713	14914	5974
714	14935	5953
715	14956	5932
716	14977	5911
717	14999	5891
718	15021	5870
719	15033	5846
720	15055	5825
721	15075	5804
722	15096	5783
723	15118	5763
724	15137	5741
725	15157	5720
726	15177	5699
727	15198	5678
728	15219	5657
729	15241	5637
730	15262	5616
731	15282	5595
732	15305	5574
733	15326	5554
734	15347	5533
735	15368	5512
736	15388	5491
737	15409	5470
738	15430	5449
739	15450	5428
740	15471	5407
741	15492	5386
742	15512	5365
743	15533	5344
744	15555	5324
745	15576	5303
746	15596	5282
747	15618	5261
748	15639	5241
749	15659	5219
750	15680	5198
751	15702	5178
752	15722	5157
753	15743	5136
754	15765	5115
755	15785	5094
756	15806	5073
757	15827	5053
758	15848	5032
759	15869	5011
760	15890	4990
761	15911	4969
762	15932	4948
763	15952	4927
764	15965	4904
765	15985	4883
766	16006	4862
767	16027	4841
768	16050	4821
769	16072	4800
770	16093	4780
771	16114	4759
772	16134	4738
773	16155	4717
774	16175	4696
775	16196	4675
776	16208	4651
777	16228	4630
778	16249	4609
779	16269	4588
780	16290	4567
781	16312	4547
782	16334	4526
783	16354	4505
784	16374	4484
785	16395	4463
786	16415	4442
787	16437	4422
788	16457	4401
789	16478	4380
790	16498	4359
791	16520	4338
792	16542	4318
793	16563	4297
794	16583	4276
795	16604	4255
796	16624	4234
797	16645	4213
798	16665	4192
799	16686	4171
800	16707	4150
801	16728	4129
802	16749	4109
803	16770	4088
804	16792	4067
805	16813	4046
806	16834	4026
807	16855	4005
808	16875	3984
809	16895	3963
810	16916	3942
811	16936	3921
812	16956	3900
813	16977	3879
814	16999	3858
815	17019	3837
816	17040	3816
817	17062	3796
818	17082	3775
819	17104	3754
820	17124	3733
821	17145	3712
822	17166	3691
823	17186	3670
824	17207	3650
825	17227	3629
826	17249	3608
827	17269	3587
828	17291	3566
829	17312	3545
830	17332	3524
831	17354	3504
832	17375	3483
833	17395	3462
834	17416	3441
835	17436	3420
836	17458	3399
837	17479	3379
838	17500	3358
839	17522	3337
840	17544	3316
841	17565	3296
842	17585	3275
843	17605	3254
844	17626	3233
845	17647	3212
846	17668	3191
847	17689	3170
848	17710	3149
849	17732	3129
850	17753	3108
851	17774	3087
852	17795	3066
853	17817	3046
854	17838	3025
855	17859	3004
856	17880	2983
857	17901	2962
858	17922	2941
859	17943	2921
860	17965	2900
861	17987	2879
862	18008	2858
863	18030	2838
864	18051	2817
865	18073	2796
866	18093	2775
867	18115	2754
868	18136	2734
869	18158	2713
870	18179	2692
871	18201	2671
872	18221	2650
873	18242	2629
874	18263	2609
875	18284	2588
876	18305	2567
877	18326	2546
878	18346	2525
879	18368	2504
880	18389	2483
881	18410	2463
882	18430	2442
883	18451	2421
884	18471	2400
885	18492	2379
886	18513	2358
887	18533	2337
888	18555	2316
889	18577	2296
890	18597	2275
891	18618	2254
892	18639	2233
893	18660	2212
894	18682	2191
895	18702	2170
896	18722	2149
897	18743	2129
898	18765	2108
899	18786	2087
900	18807	2066
901	18829	2045
902	18849	2024
903	18869	2003
904	18890	1982
905	18910	1961
906	18931	1941
907	18952	1920
908	18973	1899
909	18993	1878
910	19015	1857
911	19036	1836
912	19058	1816
913	19079	1795
914	19099	1774
915	19120	1753
916	19140	1732
917	19160	1711
918	19180	1690
919	19201	1669
920	19222	1648
921	19244	1628
922	19264	1607
923	19286	1586
924	19307	1565
925	19329	1544
926	19350	1523
927	19371	1502
928	19391	1482
929	19411	1461
930	19432	1440
931	19453	1419
932	19474	1398
933	19494	1377
934	19516	1356
935	19536	1335
936	19557	1314
937	19580	1294
938	19601	1273
939	19621	1252
940	19642	1231
941	19664	1210
942	19685	1189
943	19705	1168
944	19726	1148
945	19747	1127
946	19769	1106
947	19790	1085
948	19811	1064
949	19832	1043
950	19854	1022
951	19874	1002
952	19895	981
953	19917	960
954	19937	939
955	19957	918
956	19977	897
957	19999	876
958	20021	855
959	20042	835
960	20063	814
961	20083	793
962	20103	772
963	20124	751
964	20145	730
965	20166	709
966	20187	688
967	20208	668
968	20228	647
969	20249	626
970	20270	605
971	20292	584
972	20313	563
973	20336	542
974	20357	521
975	20378	501
976	20399	480
977	20419	459
978	20440	438
979	20461	417
980	20483	396
981	20503	375
982	20524	354
983	20545	334
984	20567	313
985	20587	292
986	20609	271
987	20629	250
988	20649	229
989	20669	208
990	20690	187
991	20712	167
992	20732	146
993	20754	125
994	20775	104
995	20797	83
996	20818	62
997	20839	41
998	20860	20
999	20880	0
